Latitude, Longitude
40.067508, -75.304936
43.070715, -76.136465
40.583531, -76.925479
42.447972, -76.480208
40.077819, -75.7394
43.070701, -76.136502
40.285596, -76.947444
39.890044, -75.723587
40.07952, -75.987703
40.142976, -76.568924
42.137392, -73.696166
40.833858, -77.810557
39.823791, -75.461552
42.685329, -73.825182
39.980306, -75.838364
42.561746, -77.090673
42.561813, -77.090626
40.081588, -76.333433
43.070685, -76.136493
40.513106, -76.103664
43.07074, -76.13653
43.10404, -77.754969
41.690414, -74.730942
43.070714, -76.136503
40.71729, -76.709636
43.07069, -76.136539
43.120017, -77.790832
39.783036, -76.561253
42.924943, -76.554128
43.086422, -77.668168
40.212436, -75.453857
42.673035, -73.743051
42.672823, -73.7435
39.83328, -75.886443
39.954818, -75.55735
40.038012, -76.349907
40.066612, -76.565049
42.88166, -74.84497
40.23869, -76.829818
40.99386, -72.129463
40.993851, -72.129444
43.236785, -76.503757
39.780085, -75.920677
43.153639, -77.610913
43.153681, -77.610913
40.513097, -76.103606
41.237921, -74.015466
41.237921, -74.015466
41.23792, -74.015465
40.068583, -76.703649
40.349995, -75.65111
41.261943, -79.484835
43.123675, -77.623815
42.420459, -76.497366
40.262937, -75.398755
42.97847, -75.011834
43.070605, -76.13645
40.255101, -79.856355
40.234208, -76.945957
42.924586, -76.554084
42.864681, -76.993824
41.036704, -78.399595
42.79743, -74.676596
39.9782, -75.313682
42.797227, -74.676598
39.866728, -75.446456
41.787232, -73.682173
39.921953, -75.53166
42.797423, -74.676403
41.349615, -74.592495
43.070893, -76.136778
42.926083, -76.583464
40.130463, -75.127442
40.107569, -75.113313
42.592164, -73.51628
41.854358, -73.874272
42.684052, -73.820868
44.978174, -74.713822
40.744022, -75.348499
43.08108, -78.874183
41.992355, -80.268598
40.129716, -74.849433
40.103138, -77.061459
40.213383, -74.813043
40.115909, -75.146382
43.227969, -77.71459
40.213451, -74.812878
40.160197, -75.20532
40.44457, -75.884947
42.761196, -78.83584
40.238821, -76.830382
40.103145, -77.061473
39.990209, -75.578389
40.117489, -74.914534
40.117489, -74.914534
40.276046, -76.968262
43.124205, -74.929416
43.083466, -76.150286
43.10038, -73.629662
40.269963, -74.950774
40.707025, -73.98677
39.958963, -75.264275
40.588357, -73.752074
40.103136, -77.061452
43.099553, -74.775096
43.025927, -76.278344
40.292469, -76.633236
43.205785, -77.584717
43.144352, -77.643445
40.094569, -74.924812
42.561852, -77.090577
39.961325, -75.278583
40.002055, -79.817849
39.915462, -76.631774
39.950576, -75.257088
40.383123, -74.96086
40.230378, -75.367692
39.729328, -77.206208
40.677599, -75.287151
39.949415, -75.266132
40.09646, -76.619159
40.078095, -76.585446
39.979515, -75.28681
43.212622, -77.597702
40.077939, -76.585468
43.044693, -76.150087
39.977417, -75.311531
40.253364, -75.266464
40.688199, -80.240202
42.812396, -74.598
39.883737, -77.588014
39.991212, -77.560737
39.835699, -75.708125
40.120179, -75.570824
43.175851, -76.34201
40.990199, -75.458431
40.25604, -75.263799
43.077872, -77.554544
41.398631, -74.428706
42.998664, -77.504662
40.265698, -75.083693
40.08402, -75.162666
40.300961, -79.681437
41.756851, -74.821314
43.075704, -76.082775
40.078961, -76.272476
43.132456, -77.712258
42.267752, -77.60572
44.28986, -76.032593
43.132419, -77.712334
39.729471, -77.206247
43.437793, -73.706275
40.714051, -75.259243
42.987296, -78.121964
39.935616, -80.071708
43.011894, -73.789995
39.890972, -78.04437
40.256548, -75.954456
42.018573, -75.905694
40.229889, -76.796029
39.923651, -79.839342
44.942861, -74.80609
31.569156, -84.156411
40.594959, -77.099653
40.594775, -77.099626
39.971465, -75.734025
40.084143, -75.162985
42.568148, -71.159524
40.140179, -76.342194
43.130332, -77.484636
40.231741, -76.943321
39.812796, -75.913857
42.720057, -71.155492
43.183249, -77.588821
40.127863, -75.080566
42.691661, -71.165555
43.207927, -78.681523
42.667736, -73.673901
40.261605, -75.953313
43.13009, -77.717208
42.902691, -76.833875
42.902672, -76.833854
40.461823, -77.806694
43.085623, -77.579466
42.429524, -71.190721
39.742354, -75.54447
40.2565, -75.95445
31.569991, -84.150246
43.136162, -73.665971
39.991983, -75.426915
43.139272, -76.223523
39.898835, -76.77151
39.99195, -75.426925
39.980159, -76.689054
39.99216, -75.426828
43.183417, -77.588316
43.080634, -77.681931
39.980527, -76.204934
39.980486, -76.204882
40.070953, -75.344382
40.501435, -78.412842
43.080643, -77.681928
41.212872, -76.074272
42.092093, -76.790957
42.092036, -76.790857
40.509187, -78.419975
42.597913, -76.18157
39.935462, -75.605499
41.476123, -74.004141
43.170535, -77.5846
39.88403, -75.391858
39.950042, -75.615977
40.129731, -74.849436
40.239689, -74.964671
43.169947, -77.704887
43.011493, -76.146892
39.828904, -75.809992
40.129731, -74.84943
43.17645, -77.631265
40.000504, -76.649304
40.00049, -76.649427
42.658815, -73.783163
42.594794, -76.193813
39.971341, -76.307032
40.241417, -75.546878
40.681033, -75.723977
43.085407, -77.57648
40.216261, -74.829408
40.216106, -74.829212
40.216167, -74.829266
43.231188, -77.167493
43.186658, -77.587151
42.690235, -73.835574
40.003046, -75.230895
40.058095, -75.101225
42.224425, -73.810785
42.663027, -73.7801
40.129767, -74.849499
40.070804, -75.145779
40.187096, -76.679955
40.246309, -76.794035
40.090489, -75.287449
39.981655, -75.284986
40.129751, -74.849416
43.02444, -74.423737
40.120253, -75.570925
40.25606, -76.853493
39.821436, -77.267299
43.143897, -77.574799
40.206397, -77.459272
43.015049, -76.153083
43.015055, -76.15309
41.041047, -75.206571
42.996229, -76.111253
42.901613, -78.490733
43.507752, -76.08837
43.155393, -77.604842
42.597709, -76.189149
42.254615, -77.798489
42.325085, -77.667425
43.163627, -77.628424
43.163627, -77.628424
42.25463, -77.798531
43.136408, -76.373
40.31636, -76.006697
42.927227, -76.553403
