Id Label
815891917 Oxy
263728592 Oxy
41917912 Oxy
296592861 Oxy
1710489060 Tri
534797800 Tri
623343088 Tri
556989943 Non
630840838 Tri
768380431 Oxy
268414482 Non
448708119 Tri
838546968 Oxy
84731418 Oxy
1032091164 Oxy
22429220 Oxy
51543590 Oxy
583728679 Tri
485150248 Non
262987311 Oxy
497708594 Tri
355067444 Oxy
39165493 Oxy
750700086 Non
816420409 Oxy
3105562177 Oxy
25325123 Oxy
325932617 Oxy
842403408 Oxy
547163733 Tri
476352094 Non
380683871 Oxy
569142880 Oxy
463072866 Oxy
1491162385 Oxy
216915562 Oxy
1912146536 Oxy
418803338 Oxy
129085068 Oxy
45698701 Oxy
383278862 Oxy
370375281 Oxy
322430638 Tri
11554482 Oxy
38454964 Oxy
870323894 Oxy
774926011 Oxy
1151760060 Oxy
37338814 Non
770639552 Oxy
434060997 Tri
60212934 Oxy
464316103 Oxy
1849880264 Oxy
76154571 Non
602457809 Non
120327894 Oxy
30329125 Oxy
47574752 Oxy
322215653 Non
401798886 Tri
27195114 Non
989718254 Oxy
467011312 Oxy
446691061 Oxy
411791097 Oxy
3093499642 Oxy
2688306942 Non
380299008 Tri
587669249 Oxy
3023429378 Non
66699013 Non
26257166 Non
331998993 Oxy
552025874 Non
3100176147 Oxy
199071521 Non
2470596389 Non
2771935019 Tri
346964353 Oxy
50390833 Oxy
38467384 Oxy
847572793 Oxy
346380094 Oxy
2235891526 Oxy
391784263 Oxy
625157960 Oxy
430165833 Oxy
1975716493 Oxy
355131216 Tri
2490949457 Oxy
242554169 Oxy
360126300 Oxy
577658717 Non
526987103 Tri
43462511 Non
1584875376 Oxy
428466043 Tri
1110554497 Oxy
2251251587 Non
262360972 Oxy
1552293775 Oxy
44547986 Oxy
207296404 Oxy
543383447 Oxy
28638191 Non
460345247 Non
492511146 Oxy
2762084271 Oxy
16568241 Oxy
40398774 Oxy
2264373178 Non
361587870 Oxy
63819713 Tri
1490689986 Oxy
40927173 Non
143697889 Oxy
17919972 Non
428634085 Oxy
334993383 Oxy
58261486 Oxy
345559028 Tri
472975354 Oxy
2382862333 Non
258957310 Oxy
